rir_path,dims,area_m2,alpha,fullband_T30_ms,source_distance_m,azimuth_deg,elevation_deg,source_pos_xyz,distance,fs,room_id,split
RIR_dataset/RIR_data/test/auto_000000.wav,"[14.18, 14.009, 3.0]",198.65,0.1451,1167.6,0.84,77,-46,"[7.221, 7.573, 0.896]",0.84,48000,e6a9c0cd,test
RIR_dataset/RIR_data/test/auto_000001.wav,"[13.088, 6.585, 3.0]",86.18,0.1375,1042.1,0.51,88,-41,"[6.557, 3.677, 1.165]",0.51,48000,478a9617,test
RIR_dataset/RIR_data/test/auto_000002.wav,"[19.055, 10.843, 3.0]",206.61,0.1604,1050.0,0.66,-149,-46,"[9.135, 5.185, 1.025]",0.66,48000,0d3b58d7,test
RIR_dataset/RIR_data/test/auto_000003.wav,"[16.345, 15.096, 3.0]",246.74,0.95,182.6,0.8,173,-43,"[7.592, 7.619, 0.954]",0.8,48000,ee2808d0,test
RIR_dataset/RIR_data/test/auto_000004.wav,"[6.779, 5.256, 3.0]",35.63,0.6057,198.1,0.99,100,42,"[3.262, 3.353, 2.162]",0.99,48000,0da0b853,test
RIR_dataset/RIR_data/test/auto_000005.wav,"[16.539, 12.571, 3.0]",207.91,0.1477,1151.8,2.03,-72,41,"[8.743, 4.828, 2.832]",2.03,48000,4f6d5660,test
RIR_dataset/RIR_data/test/auto_000006.wav,"[10.713, 4.658, 3.0]",49.9,0.1168,1075.0,0.99,92,-46,"[5.332, 3.016, 0.788]",0.99,48000,e40cccf9,test
RIR_dataset/RIR_data/test/auto_000007.wav,"[14.806, 8.298, 3.0]",122.85,0.1334,1157.4,2.03,18,42,"[8.838, 4.615, 2.858]",2.03,48000,d21bb4bf,test
RIR_dataset/RIR_data/test/auto_000008.wav,"[10.249, 4.83, 3.0]",49.5,0.1187,1063.0,0.97,-2,-46,"[5.798, 2.391, 0.802]",0.97,48000,9d6192c4,test
RIR_dataset/RIR_data/test/auto_000009.wav,"[8.545, 3.863, 3.0]",33.01,0.0948,1197.8,0.55,-74,41,"[4.387, 1.532, 1.861]",0.55,48000,9662ed1c,test
RIR_dataset/RIR_data/test/auto_000010.wav,"[6.268, 2.581, 3.0]",16.18,0.0831,1100.5,0.81,124,42,"[2.797, 1.79, 2.042]",0.81,48000,268ce459,test
RIR_dataset/RIR_data/test/auto_000011.wav,"[6.593, 3.423, 3.0]",22.57,0.5761,179.8,0.94,-13,-43,"[3.966, 1.557, 0.859]",0.94,48000,3845edac,test
RIR_dataset/RIR_data/test/auto_000012.wav,"[24.015, 10.114, 3.0]",242.88,0.9427,180.2,0.63,32,-43,"[12.398, 5.301, 1.07]",0.63,48000,f2730051,test
RIR_dataset/RIR_data/test/auto_000013.wav,"[19.212, 8.305, 3.0]",159.56,0.1324,1202.5,0.78,-83,-46,"[9.672, 3.615, 0.939]",0.78,48000,432e6d92,test
RIR_dataset/RIR_data/test/auto_000014.wav,"[11.777, 9.324, 3.0]",109.8,0.1251,1224.9,0.92,-15,42,"[6.549, 4.485, 2.116]",0.92,48000,0538e9b7,test
RIR_dataset/RIR_data/test/auto_000015.wav,"[12.489, 10.19, 3.0]",127.26,0.1523,1033.4,0.55,-26,-44,"[6.6, 4.922, 1.118]",0.55,48000,450e3c33,test
RIR_dataset/RIR_data/test/auto_000016.wav,"[21.411, 9.139, 3.0]",195.69,0.1534,1072.4,2.08,177,-42,"[9.162, 4.65, 0.108]",2.08,48000,8550869b,test
RIR_dataset/RIR_data/test/auto_000017.wav,"[10.616, 5.721, 3.0]",60.74,0.7515,177.9,0.64,-117,-45,"[5.103, 2.457, 1.047]",0.64,48000,e2aea4b0,test
RIR_dataset/RIR_data/test/auto_000018.wav,"[18.629, 10.337, 3.0]",192.56,0.1555,1069.8,2.01,-80,-43,"[9.57, 3.721, 0.129]",2.01,48000,5dfcb93b,test
RIR_dataset/RIR_data/test/auto_000019.wav,"[4.174, 4.024, 3.0]",16.8,0.0868,1129.5,2.09,8,41,"[3.649, 2.232, 2.871]",2.09,48000,dfced613,test
RIR_dataset/RIR_data/test/auto_000020.wav,"[23.32, 11.552, 3.0]",269.39,0.9392,185.2,0.71,-86,42,"[11.697, 5.25, 1.975]",0.71,48000,64ebee53,test
RIR_dataset/RIR_data/test/auto_000021.wav,"[19.005, 7.911, 3.0]",150.35,0.8606,182.6,0.99,-86,-43,"[9.553, 3.233, 0.825]",0.99,48000,6f7909aa,test
RIR_dataset/RIR_data/test/auto_000022.wav,"[12.433, 5.508, 3.0]",68.47,0.1096,1233.3,0.96,-113,-46,"[5.956, 2.14, 0.809]",0.96,48000,c9cb067a,test
RIR_dataset/RIR_data/test/auto_000023.wav,"[5.26, 3.826, 3.0]",20.12,0.0849,1207.7,0.65,-64,-44,"[2.835, 1.493, 1.048]",0.65,48000,b9f46ecb,test
RIR_dataset/RIR_data/test/auto_000024.wav,"[19.455, 12.621, 3.0]",245.55,0.1407,1233.3,0.63,-94,41,"[9.694, 5.836, 1.913]",0.63,48000,5cbf250d,test
RIR_dataset/RIR_data/test/auto_000025.wav,"[10.657, 9.814, 3.0]",104.59,0.1278,1190.2,0.56,67,41,"[5.494, 5.296, 1.867]",0.56,48000,8545d127,test
RIR_dataset/RIR_data/test/auto_000026.wav,"[10.277, 6.983, 3.0]",71.77,0.1312,1068.8,0.59,78,42,"[5.23, 3.92, 1.895]",0.59,48000,69e467cd,test
RIR_dataset/RIR_data/test/auto_000027.wav,"[11.874, 7.489, 3.0]",88.92,0.1356,1077.6,0.82,-87,41,"[5.969, 3.126, 2.038]",0.82,48000,2c3abfd1,test
RIR_dataset/RIR_data/test/auto_000028.wav,"[11.968, 5.282, 3.0]",63.22,0.1305,1017.4,0.51,-180,-41,"[5.599, 2.641, 1.165]",0.51,48000,a48adc75,test
RIR_dataset/RIR_data/test/auto_000029.wav,"[12.631, 6.167, 3.0]",77.9,0.1171,1196.7,0.82,-157,42,"[5.755, 2.845, 2.049]",0.82,48000,83823339,test
RIR_dataset/RIR_data/test/auto_000030.wav,"[14.44, 6.808, 3.0]",98.31,0.8168,179.4,0.71,-92,41,"[7.201, 2.868, 1.966]",0.711,48000,0e0da405,test
RIR_dataset/RIR_data/test/auto_000031.wav,"[22.883, 11.187, 3.0]",256.0,0.1562,1104.9,2.09,102,42,"[11.119, 7.113, 2.898]",2.09,48000,a999a23f,test
RIR_dataset/RIR_data/test/auto_000032.wav,"[6.221, 4.969, 3.0]",30.91,0.1076,1076.2,0.98,-167,-44,"[2.424, 2.326, 0.819]",0.98,48000,065f52e4,test
RIR_dataset/RIR_data/test/auto_000033.wav,"[12.647, 10.948, 3.0]",138.46,0.8835,180.9,0.84,93,42,"[6.291, 6.097, 2.062]",0.84,48000,aa2b7931,test
RIR_dataset/RIR_data/test/auto_000034.wav,"[10.265, 7.794, 3.0]",80.0,0.814,176.9,0.75,64,-47,"[5.357, 4.357, 0.951]",0.751,48000,8ee96069,test
RIR_dataset/RIR_data/test/auto_000035.wav,"[20.515, 8.598, 3.0]",176.38,0.1569,1029.4,0.79,156,42,"[9.721, 4.538, 2.029]",0.79,48000,04bffffa,test
RIR_dataset/RIR_data/test/auto_000036.wav,"[14.853, 6.465, 3.0]",96.03,0.1223,1185.2,2.09,-152,41,"[6.034, 2.492, 2.871]",2.09,48000,c8d6a87f,test
RIR_dataset/RIR_data/test/auto_000037.wav,"[9.008, 8.417, 3.0]",75.82,0.1207,1184.0,0.77,-4,-45,"[5.047, 4.171, 0.956]",0.77,48000,5cd135c3,test
RIR_dataset/RIR_data/test/auto_000038.wav,"[6.299, 4.375, 3.0]",27.56,0.105,1064.2,2.07,-120,-42,"[2.38, 0.855, 0.115]",2.07,48000,97482cb4,test
RIR_dataset/RIR_data/test/auto_000039.wav,"[15.291, 8.304, 3.0]",126.97,0.7802,198.7,2.11,-84,-41,"[7.812, 2.568, 0.116]",2.11,48000,fa4c49a8,test
RIR_dataset/RIR_data/test/auto_000040.wav,"[11.874, 7.489, 3.0]",88.92,0.1356,1077.6,0.56,21,42,"[6.326, 3.894, 1.875]",0.561,48000,2c3abfd1,test
RIR_dataset/RIR_data/test/auto_000041.wav,"[7.958, 3.309, 3.0]",26.33,0.0849,1245.8,0.92,7,42,"[4.658, 1.738, 2.116]",0.921,48000,62a22e84,test
RIR_dataset/RIR_data/test/auto_000042.wav,"[9.923, 7.362, 3.0]",73.06,0.8358,169.0,2.05,-106,41,"[4.535, 2.194, 2.845]",2.05,48000,41c16e83,test
RIR_dataset/RIR_data/test/auto_000043.wav,"[23.32, 11.552, 3.0]",269.39,0.9392,185.2,2.03,-148,-43,"[10.401, 4.989, 0.116]",2.03,48000,64ebee53,test
RIR_dataset/RIR_data/test/auto_000044.wav,"[10.518, 8.708, 3.0]",91.59,0.1185,1250.3,2.04,-161,-43,"[3.848, 3.868, 0.109]",2.04,48000,aed8d36c,test
RIR_dataset/RIR_data/test/auto_000045.wav,"[16.091, 11.671, 3.0]",187.81,0.8607,194.4,2.06,107,-42,"[7.598, 7.299, 0.122]",2.059,48000,2de779e9,test
RIR_dataset/RIR_data/test/auto_000046.wav,"[5.383, 2.931, 3.0]",15.78,0.505,185.3,0.9,-145,-47,"[2.189, 1.113, 0.842]",0.9,48000,a9252a02,test
RIR_dataset/RIR_data/test/auto_000047.wav,"[13.466, 8.063, 3.0]",108.58,0.8765,172.8,0.67,108,-41,"[6.577, 4.512, 1.06]",0.67,48000,f05234a2,test
RIR_dataset/RIR_data/test/auto_000048.wav,"[9.499, 5.868, 3.0]",55.74,0.112,1180.0,2.07,78,41,"[5.074, 4.462, 2.858]",2.07,48000,74f93b38,test
RIR_dataset/RIR_data/test/auto_000049.wav,"[6.987, 3.546, 3.0]",24.78,0.093,1141.4,2.05,88,41,"[3.547, 3.319, 2.845]",2.05,48000,18da4818,test
RIR_dataset/RIR_data/test/auto_000050.wav,"[12.492, 6.487, 3.0]",81.03,0.1292,1097.6,2.08,-109,42,"[5.743, 1.782, 2.892]",2.08,48000,cd897415,test
RIR_dataset/RIR_data/test/auto_000051.wav,"[10.945, 6.072, 3.0]",66.46,0.7676,177.9,2.08,-147,-41,"[4.156, 2.181, 0.135]",2.08,48000,285cec31,test
RIR_dataset/RIR_data/test/auto_000052.wav,"[9.774, 7.62, 3.0]",74.48,0.7129,199.2,0.92,1,41,"[5.581, 3.822, 2.104]",0.92,48000,3bdf2c74,test
RIR_dataset/RIR_data/test/auto_000053.wav,"[23.393, 10.126, 3.0]",236.88,0.1533,1106.2,2.05,124,-41,"[10.831, 6.346, 0.155]",2.05,48000,9ceb22d0,test
RIR_dataset/RIR_data/test/auto_000054.wav,"[11.819, 7.711, 3.0]",91.13,0.7824,187.9,0.53,180,42,"[5.516, 3.856, 1.855]",0.53,48000,be59efbd,test
RIR_dataset/RIR_data/test/auto_000055.wav,"[13.72, 12.736, 3.0]",174.75,0.1513,1097.3,2.02,-11,-43,"[8.31, 6.086, 0.122]",2.02,48000,f1d6e2ff,test
RIR_dataset/RIR_data/test/auto_000056.wav,"[9.135, 5.272, 3.0]",48.16,0.6983,182.3,0.67,112,-45,"[4.39, 3.075, 1.026]",0.67,48000,59a33047,test
RIR_dataset/RIR_data/test/auto_000057.wav,"[5.263, 3.878, 3.0]",20.41,0.0917,1123.4,0.84,151,42,"[2.086, 2.242, 2.062]",0.84,48000,1d9c50d2,test
RIR_dataset/RIR_data/test/auto_000058.wav,"[7.212, 4.296, 3.0]",30.99,0.6783,168.4,0.84,19,41,"[4.205, 2.354, 2.051]",0.84,48000,b3fa859d,test
RIR_dataset/RIR_data/test/auto_000059.wav,"[21.398, 12.308, 3.0]",263.37,0.95,183.6,2.09,-58,41,"[11.535, 4.816, 2.871]",2.09,48000,51308be4,test
RIR_dataset/RIR_data/test/auto_000060.wav,"[13.762, 6.704, 3.0]",92.26,0.1271,1140.7,2.09,-80,-42,"[7.151, 1.822, 0.102]",2.09,48000,90bc3c13,test
RIR_dataset/RIR_data/test/auto_000061.wav,"[5.383, 2.931, 3.0]",15.78,0.505,185.3,0.79,-82,-46,"[2.768, 0.922, 0.932]",0.79,48000,a9252a02,test
RIR_dataset/RIR_data/test/auto_000062.wav,"[5.322, 3.064, 3.0]",16.3,0.0846,1122.7,2.03,162,42,"[1.226, 1.998, 2.858]",2.03,48000,f4badd02,test
RIR_dataset/RIR_data/test/auto_000063.wav,"[9.727, 5.625, 3.0]",54.72,0.7469,175.6,0.89,158,-47,"[4.301, 3.04, 0.849]",0.89,48000,8b5dae76,test
RIR_dataset/RIR_data/test/auto_000064.wav,"[13.663, 10.224, 3.0]",139.69,0.9014,177.1,0.57,148,41,"[6.467, 5.34, 1.874]",0.57,48000,1e415ba7,test
RIR_dataset/RIR_data/test/auto_000065.wav,"[12.492, 6.487, 3.0]",81.03,0.1292,1097.6,2.04,29,42,"[7.572, 3.978, 2.865]",2.04,48000,cd897415,test
RIR_dataset/RIR_data/test/auto_000066.wav,"[10.734, 5.045, 3.0]",54.15,0.1281,1005.9,2.09,14,-42,"[6.874, 2.898, 0.102]",2.09,48000,a4c205db,test
RIR_dataset/RIR_data/test/auto_000067.wav,"[16.995, 10.477, 3.0]",178.05,0.1563,1056.2,2.06,163,42,"[7.034, 5.686, 2.878]",2.059,48000,8d632872,test
