Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Epoch 1 Step 10/5652  space=3.1224  src=3.0090
Epoch 1 Step 20/5652  space=2.8419  src=2.8093
Epoch 1 Step 30/5652  space=2.7846  src=2.7918
Epoch 1 Step 40/5652  space=2.7790  src=2.7826
Epoch 1 Step 50/5652  space=2.7734  src=2.7776
Epoch 1 Step 60/5652  space=2.7762  src=2.7772
Epoch 1 Step 70/5652  space=2.7845  src=2.7869
Epoch 1 Step 80/5652  space=2.7781  src=2.7747
Epoch 1 Step 90/5652  space=2.7725  src=2.7766
Epoch 1 Step 100/5652  space=2.7761  src=2.7756
Epoch 1 Step 110/5652  space=2.7779  src=2.7800
Epoch 1 Step 120/5652  space=2.7626  src=2.7803
Epoch 1 Step 130/5652  space=2.7746  src=2.7755
Epoch 1 Step 140/5652  space=2.7614  src=2.7781
Epoch 1 Step 150/5652  space=2.7655  src=2.7838
Epoch 1 Step 160/5652  space=2.7707  src=2.7780
Epoch 1 Step 170/5652  space=2.7960  src=2.7887
Epoch 1 Step 180/5652  space=2.7989  src=2.8266
Epoch 1 Step 190/5652  space=2.7886  src=2.7867
Epoch 1 Step 200/5652  space=2.8320  src=2.7823
Epoch 1 Step 210/5652  space=2.7967  src=2.7791
Epoch 1 Step 220/5652  space=2.7907  src=2.7762
Epoch 1 Step 230/5652  space=2.8907  src=2.7743
Epoch 1 Step 240/5652  space=2.7936  src=2.7728
Epoch 1 Step 250/5652  space=2.7800  src=2.7815
Epoch 1 Step 260/5652  space=2.8291  src=3.0944
Epoch 1 Step 270/5652  space=2.7852  src=2.8612
Epoch 1 Step 280/5652  space=2.7711  src=2.7798
Epoch 1 Step 290/5652  space=2.7919  src=2.8654
Epoch 1 Step 300/5652  space=2.7559  src=2.7785
Epoch 1 Step 310/5652  space=2.7383  src=2.7866
Epoch 1 Step 320/5652  space=2.6198  src=2.7882
Epoch 1 Step 330/5652  space=2.7994  src=2.7737
Epoch 1 Step 340/5652  space=2.7820  src=2.7700
Epoch 1 Step 350/5652  space=2.7738  src=2.7744
Epoch 1 Step 360/5652  space=2.7817  src=2.7751
Epoch 1 Step 370/5652  space=2.7791  src=2.7791
Epoch 1 Step 380/5652  space=2.7942  src=2.7852
Epoch 1 Step 390/5652  space=2.7907  src=2.7845
Epoch 1 Step 400/5652  space=2.8004  src=2.7740
Epoch 1 Step 410/5652  space=2.7901  src=2.7748
Epoch 1 Step 420/5652  space=2.7944  src=2.7885
Epoch 1 Step 430/5652  space=2.7726  src=2.8064
Epoch 1 Step 440/5652  space=2.7744  src=2.8257
Epoch 1 Step 450/5652  space=2.7802  src=2.7721
Epoch 1 Step 460/5652  space=2.7769  src=2.7779
Epoch 1 Step 470/5652  space=2.7679  src=2.7803
Epoch 1 Step 480/5652  space=2.7736  src=2.7805
Epoch 1 Step 490/5652  space=2.7904  src=2.7737
Epoch 1 Step 500/5652  space=2.7730  src=2.7747
Epoch 1 Step 510/5652  space=2.9051  src=2.7866
Epoch 1 Step 520/5652  space=3.0671  src=2.8547
Epoch 1 Step 530/5652  space=2.7797  src=2.7749
Epoch 1 Step 540/5652  space=2.8164  src=2.7744
Epoch 1 Step 550/5652  space=2.7951  src=2.7801
Epoch 1 Step 560/5652  space=2.7800  src=2.7732
Epoch 1 Step 570/5652  space=2.7934  src=2.7738
Epoch 1 Step 580/5652  space=2.7759  src=2.7729
Epoch 1 Step 590/5652  space=2.7810  src=2.7718
Epoch 1 Step 600/5652  space=2.7753  src=2.7730
Epoch 1 Step 610/5652  space=2.7733  src=2.7731
Epoch 1 Step 620/5652  space=2.7762  src=2.7755
