Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Epoch 1 Step 10/5652  space=3.0156  src=2.9245
Epoch 1 Step 20/5652  space=2.8320  src=2.7922
Epoch 1 Step 30/5652  space=2.8220  src=2.8230
Epoch 1 Step 40/5652  space=2.7910  src=2.7911
Epoch 1 Step 50/5652  space=2.7844  src=2.7827
Epoch 1 Step 60/5652  space=2.7779  src=2.7806
Epoch 1 Step 70/5652  space=2.7829  src=2.7749
Epoch 1 Step 80/5652  space=2.7769  src=2.7789
Epoch 1 Step 90/5652  space=2.7720  src=2.7786
Epoch 1 Step 100/5652  space=2.7782  src=2.7845
Epoch 1 Step 110/5652  space=2.7644  src=2.7769
Epoch 1 Step 120/5652  space=2.7730  src=2.7830
Epoch 1 Step 130/5652  space=2.7878  src=2.7757
Epoch 1 Step 140/5652  space=2.7774  src=2.7753
Epoch 1 Step 150/5652  space=2.7817  src=2.7756
Epoch 1 Step 160/5652  space=2.7761  src=2.7696
Epoch 1 Step 170/5652  space=2.7739  src=2.7725
Epoch 1 Step 180/5652  space=2.7756  src=2.7798
Epoch 1 Step 190/5652  space=2.7878  src=2.7744
Epoch 1 Step 200/5652  space=2.8708  src=2.7812
Epoch 1 Step 210/5652  space=2.8228  src=2.7884
Epoch 1 Step 220/5652  space=2.8294  src=2.7950
Epoch 1 Step 230/5652  space=2.7716  src=2.7851
Epoch 1 Step 240/5652  space=2.7866  src=2.7781
Epoch 1 Step 250/5652  space=2.7837  src=2.7729
Epoch 1 Step 260/5652  space=2.7781  src=2.7724
Epoch 1 Step 270/5652  space=2.7835  src=2.7701
Epoch 1 Step 280/5652  space=2.7955  src=2.7715
Epoch 1 Step 290/5652  space=2.7822  src=2.7731
Epoch 1 Step 300/5652  space=2.7812  src=2.7709
Epoch 1 Step 310/5652  space=2.7843  src=2.7748
Epoch 1 Step 320/5652  space=3.7398  src=2.8509
Epoch 1 Step 330/5652  space=2.9621  src=2.8217
Epoch 1 Step 340/5652  space=2.8600  src=2.9310
Epoch 1 Step 350/5652  space=2.8379  src=3.1417
Epoch 1 Step 360/5652  space=3.0337  src=2.9838
Epoch 1 Step 370/5652  space=2.8136  src=3.0474
Epoch 1 Step 380/5652  space=2.7950  src=2.8738
Epoch 1 Step 390/5652  space=2.8008  src=2.7910
Epoch 1 Step 400/5652  space=2.7804  src=2.7885
Epoch 1 Step 410/5652  space=2.7882  src=2.7848
Epoch 1 Step 420/5652  space=2.7999  src=2.7778
Epoch 1 Step 430/5652  space=2.7791  src=2.7767
