Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Epoch 1 Step 10/5652  space=2.9572  src=3.0280
Epoch 1 Step 20/5652  space=2.8688  src=2.8227
Epoch 1 Step 30/5652  space=2.7937  src=2.7806
Epoch 1 Step 40/5652  space=2.7791  src=2.7838
Epoch 1 Step 50/5652  space=2.7790  src=2.7810
Epoch 1 Step 60/5652  space=2.7822  src=2.7870
Epoch 1 Step 70/5652  space=2.7751  src=2.7803
Epoch 1 Step 80/5652  space=2.7748  src=2.7752
Epoch 1 Step 90/5652  space=2.7818  src=2.7765
Epoch 1 Step 100/5652  space=2.7810  src=2.7746
Epoch 1 Step 110/5652  space=2.7774  src=2.7769
Epoch 1 Step 120/5652  space=2.7739  src=2.7734
Epoch 1 Step 130/5652  space=2.7786  src=2.7798
Epoch 1 Step 140/5652  space=2.7802  src=2.7849
Epoch 1 Step 150/5652  space=2.7960  src=2.7759
Epoch 1 Step 160/5652  space=2.8915  src=2.8310
Epoch 1 Step 170/5652  space=2.9476  src=2.9173
Epoch 1 Step 180/5652  space=2.7916  src=2.7842
Epoch 1 Step 190/5652  space=2.7755  src=2.7745
Epoch 1 Step 200/5652  space=2.7761  src=2.7740
Epoch 1 Step 210/5652  space=2.7746  src=2.7730
Epoch 1 Step 220/5652  space=2.7743  src=2.7735
Epoch 1 Step 230/5652  space=2.7740  src=2.7740
Epoch 1 Step 240/5652  space=2.7737  src=2.7744
Epoch 1 Step 250/5652  space=2.7743  src=2.7739
Epoch 1 Step 260/5652  space=2.7737  src=2.7758
Epoch 1 Step 270/5652  space=2.7673  src=2.7733
Epoch 1 Step 280/5652  space=2.7752  src=2.7749
Epoch 1 Step 290/5652  space=2.7765  src=2.7689
Epoch 1 Step 300/5652  space=2.7877  src=2.7744
Epoch 1 Step 310/5652  space=2.7789  src=2.7750
Epoch 1 Step 320/5652  space=2.7744  src=2.7744
Epoch 1 Step 330/5652  space=2.7831  src=2.8323
Epoch 1 Step 340/5652  space=2.7775  src=2.8068
Epoch 1 Step 350/5652  space=2.8009  src=2.7858
Epoch 1 Step 360/5652  space=2.7917  src=2.7875
Epoch 1 Step 370/5652  space=2.7759  src=2.7779
Epoch 1 Step 380/5652  space=3.1091  src=2.8092
