Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Epoch 1 Step 10/5652  space=3.5917  src=3.4291
Epoch 1 Step 20/5652  space=2.9092  src=2.8431
Epoch 1 Step 30/5652  space=2.7870  src=2.7938
Epoch 1 Step 40/5652  space=2.7854  src=2.7870
Epoch 1 Step 50/5652  space=2.7823  src=2.7829
Epoch 1 Step 60/5652  space=2.7798  src=2.7927
Epoch 1 Step 70/5652  space=2.7837  src=2.7576
Epoch 1 Step 80/5652  space=2.7760  src=2.7725
Epoch 1 Step 90/5652  space=2.7885  src=2.7772
Epoch 1 Step 100/5652  space=2.7769  src=2.7765
Epoch 1 Step 110/5652  space=2.7866  src=2.7807
Epoch 1 Step 120/5652  space=2.8029  src=2.7802
Epoch 1 Step 130/5652  space=2.7685  src=2.7831
Epoch 1 Step 140/5652  space=2.7710  src=2.7843
Epoch 1 Step 150/5652  space=2.7897  src=2.7800
Epoch 1 Step 160/5652  space=2.7912  src=2.7989
Epoch 1 Step 170/5652  space=2.7831  src=2.7855
Epoch 1 Step 180/5652  space=2.9230  src=2.7929
Epoch 1 Step 190/5652  space=2.9286  src=2.8137
Epoch 1 Step 200/5652  space=2.9243  src=2.8324
Epoch 1 Step 210/5652  space=2.7985  src=2.7815
Epoch 1 Step 220/5652  space=2.7986  src=2.7793
Epoch 1 Step 230/5652  space=2.8098  src=2.7768
Epoch 1 Step 240/5652  space=2.7698  src=2.7816
Epoch 1 Step 250/5652  space=2.8175  src=2.9158
Epoch 1 Step 260/5652  space=2.8022  src=2.7984
Epoch 1 Step 270/5652  space=2.7834  src=2.7711
Epoch 1 Step 280/5652  space=2.8076  src=2.7846
Epoch 1 Step 290/5652  space=2.7869  src=2.7710
Epoch 1 Step 300/5652  space=2.7851  src=2.7772
Epoch 1 Step 310/5652  space=2.8269  src=2.7732
Epoch 1 Step 320/5652  space=2.8283  src=2.7752
Epoch 1 Step 330/5652  space=2.7736  src=2.7757
Epoch 1 Step 340/5652  space=2.7817  src=2.7730
Epoch 1 Step 350/5652  space=2.7734  src=2.7745
Epoch 1 Step 360/5652  space=2.7902  src=2.7740
Epoch 1 Step 370/5652  space=2.8795  src=2.7761
Epoch 1 Step 380/5652  space=3.0073  src=2.7858
Epoch 1 Step 390/5652  space=2.8612  src=2.9391
Epoch 1 Step 400/5652  space=2.8397  src=3.0693
Epoch 1 Step 410/5652  space=2.8262  src=2.8021
Epoch 1 Step 420/5652  space=2.7876  src=2.7751
Epoch 1 Step 430/5652  space=2.7979  src=2.7841
Epoch 1 Step 440/5652  space=2.7858  src=2.8845
Epoch 1 Step 450/5652  space=2.8206  src=2.7940
Epoch 1 Step 460/5652  space=2.7865  src=2.7925
Epoch 1 Step 470/5652  space=2.7841  src=2.8196
Epoch 1 Step 480/5652  space=2.7924  src=2.9484
Epoch 1 Step 490/5652  space=2.7830  src=2.8206
Epoch 1 Step 500/5652  space=2.7652  src=2.8027
Epoch 1 Step 510/5652  space=2.7825  src=2.7728
Epoch 1 Step 520/5652  space=2.7762  src=2.7746
Epoch 1 Step 530/5652  space=3.4001  src=2.7771
Epoch 1 Step 540/5652  space=2.9243  src=2.7745
Epoch 1 Step 550/5652  space=2.9439  src=2.7743
Epoch 1 Step 560/5652  space=3.0209  src=2.7727
Epoch 1 Step 570/5652  space=2.8122  src=2.7741
Epoch 1 Step 580/5652  space=2.7761  src=2.7729
Epoch 1 Step 590/5652  space=2.7796  src=2.7728
Epoch 1 Step 600/5652  space=2.8113  src=2.7738
Epoch 1 Step 610/5652  space=2.7983  src=2.7714
Epoch 1 Step 620/5652  space=2.8892  src=2.7725
Epoch 1 Step 630/5652  space=2.7799  src=2.7777
Epoch 1 Step 640/5652  space=3.3339  src=2.7728
Epoch 1 Step 650/5652  space=2.8046  src=2.7741
Epoch 1 Step 660/5652  space=2.7859  src=2.7751
Epoch 1 Step 670/5652  space=2.7813  src=2.7930
Epoch 1 Step 680/5652  space=2.7722  src=2.7731
Epoch 1 Step 690/5652  space=2.8169  src=2.8959
Epoch 1 Step 700/5652  space=2.8011  src=2.8095
Epoch 1 Step 710/5652  space=2.7716  src=2.8434
Epoch 1 Step 720/5652  space=2.8206  src=2.7773
Epoch 1 Step 730/5652  space=2.7777  src=2.7748
Epoch 1 Step 740/5652  space=2.7721  src=2.7796
Epoch 1 Step 750/5652  space=2.7633  src=2.7747
Epoch 1 Step 760/5652  space=2.7730  src=2.8586
Epoch 1 Step 770/5652  space=2.7842  src=2.7794
Epoch 1 Step 780/5652  space=2.8886  src=2.7780
Epoch 1 Step 790/5652  space=2.7795  src=2.7795
